User Query,Intent Label
What is the number of bathrooms of a apartment in in the city center?,database_query
Show me condo with security,database_query
What's the difference between Java and C++?,irrelevant
Do you have any duplex with four bedrooms?,database_query
Do you have any townhouse with one bedrooms?,database_query
Find me a flat for rent,database_query
Please let me know what is your name?,irrelevant
Greetings please,general_query
Please let me know is it hot outside?,irrelevant
Please let me know who wrote romeo and juliet?,irrelevant
I want to get a bungalow,database_query
What is the location of a studio in downtown?,database_query
What's up please,general_query
Good afternoon friend,general_query
Can you cheer me up with a joke,irrelevant
Please let me know who is the president of the united states?,irrelevant
Do you have any house with one bedrooms?,database_query
Good afternoon there,general_query
Can you tell me what's the forecast for the weekend?,irrelevant
I need a house for rent in near schools,database_query
Can you find me a studio that is security?,database_query
I want to lease a apartment,database_query
Who painted the Mona Lisa?,irrelevant
How are you now,general_query
Good morning,general_query
Find me a bungalow for sale,database_query
Explain object-oriented programming,irrelevant
I want to show a house,database_query
Please let me know what is the boiling point of water?,irrelevant
Sup there,general_query
Hello mate,general_query
Howdy friend,general_query
What's the weather like?,irrelevant
Find me a bungalow for rent,database_query
Please let me know is it sunny?,irrelevant
Can you tell me can you sing?,irrelevant
Good evening today,general_query
Afternoon there,general_query
Can you tell me what's your favorite movie?,irrelevant
I need a house for sale in close to work,database_query
Cats are cute,irrelevant
Please tell me a joke,irrelevant
Please set an alarm for 7 am,irrelevant
Afternoon please,general_query
Hi,general_query
I need a apartment for lease in by the beach,database_query
Can you tell me what is your name?,irrelevant
Good afternoon,general_query
Do you have any bungalow with one bedrooms?,database_query
I want to show a townhouse,database_query
Evening there,general_query
I need a studio for sale in downtown,database_query
Morning please,general_query
Howdy,general_query
I'm looking for a condo in near the park,database_query
Afternoon friend,general_query
What's the time?,irrelevant
Hello now,general_query
How are you now,general_query
Music is life,irrelevant
Hiya now,general_query
Can you sing?,irrelevant
Make me laugh,irrelevant
How are you,general_query
What is the amenities of a penthouse in suburbs?,database_query
I'm looking for a house in suburbs,database_query
Can you tell me how do i fix my car?,irrelevant
I need coffee,irrelevant
Please let me know how's the weather today?,irrelevant
Can you tell me what's the difference between java and c++?,irrelevant
I want to rent a studio,database_query
Hello friend,general_query
I'm looking for a penthouse in near the park,database_query
Wassup there,general_query
I'd like you to explain object-oriented programming,irrelevant
Can you find me a villa that is balcony?,database_query
Show me condo with parking,database_query
I need a penthouse for lease in in the city center,database_query
What is the boiling point of water?,irrelevant
Can you say something funny,irrelevant
I'm looking for a villa in near schools,database_query
Hey,general_query
Good morning mate,general_query
Hiya there,general_query
Do you know any recipes?,irrelevant
What's up mate,general_query
Yo friend,general_query
Howdy mate,general_query
Show me flat with furnished,database_query
Please let me know what's your best joke?,irrelevant
Show me townhouse with gym,database_query
Please let me know how do i write a function?,irrelevant
Good afternoon please,general_query
Can you find me a duplex that is unfurnished?,database_query
Greetings mate,general_query
Wassup mate,general_query
Can you find me a penthouse that is balcony?,database_query
Can you tell me will it snow tomorrow?,irrelevant
I want to get a duplex,database_query
Find me a townhouse for sale,database_query
Can you tell me how tall is mount everest?,irrelevant
I want to lease a townhouse,database_query
Where are you from?,irrelevant
I want to rent a duplex,database_query
Do you have any penthouse with three bedrooms?,database_query
Wassup now,general_query
Can you tell me what is the largest planet in the solar system?,irrelevant
Howdy there,general_query
Wassup friend,general_query
Evening,general_query
Show me townhouse with security,database_query
Howdy,general_query
I'd like you to remind me to call john,irrelevant
Hello please,general_query
I'm looking for a penthouse in close to work,database_query
Howdy mate,general_query
I need a apartment for sale in suburbs,database_query
Sup please,general_query
Hello today,general_query
Greetings mate,general_query
What is the size of a apartment in suburbs?,database_query
Can you tell me what's a for loop?,irrelevant
Can you make me laugh,irrelevant
Please let me know do i need an umbrella?,irrelevant
Please let me know what's your favorite movie?,irrelevant
Can you find me a condo that is unfurnished?,database_query
What is the price of a apartment in near the park?,database_query
Can you find me a penthouse that is pet-friendly?,database_query
Please let me know how many continents are there?,irrelevant
Hi mate,general_query
Morning now,general_query
Do you have any penthouse with five bedrooms?,database_query
I'm looking for a studio in near the park,database_query
Afternoon please,general_query
Afternoon now,general_query
How are you mate,general_query
Evening please,general_query
I'm looking for a villa in suburbs,database_query
Good afternoon mate,general_query
Hi there,general_query
Please let me know will it snow tomorrow?,irrelevant
Life is beautiful,irrelevant
Good evening friend,general_query
Remind me to call John,irrelevant
Afternoon today,general_query
Can you play some music,irrelevant
Can you tell me can you tell a funny story?,irrelevant
Good evening please,general_query
When was the Declaration of Independence signed?,irrelevant
Show me flat with gym,database_query
Books are great,irrelevant
Do you have any flat with two bedrooms?,database_query
Find me a apartment for lease,database_query
Good evening mate,general_query
Please say something funny,irrelevant
Please i need a laugh,irrelevant
Do you have any flat with one bedrooms?,database_query
I'd like you to play some music,irrelevant
Evening,general_query
Wassup today,general_query
I love traveling,irrelevant
Can you find me a villa that is furnished?,database_query
I need a penthouse for sale in by the beach,database_query
I'd like you to tell me something hilarious,irrelevant
Please let me know what's the difference between java and c++?,irrelevant
Greetings friend,general_query
Hey today,general_query
Can you think?,irrelevant
Please let me know what's the temperature outside?,irrelevant
Please let me know when was the declaration of independence signed?,irrelevant
Hiya please,general_query
Yo please,general_query
Good evening,general_query
Please let me know can you tell a funny story?,irrelevant
Please let me know what is the largest planet in the solar system?,irrelevant
I'm looking for a apartment in near the park,database_query
Can you tell me who painted the mona lisa?,irrelevant
I want to lease a penthouse,database_query
Please let me know what's a for loop?,irrelevant
Find me a apartment for rent,database_query
Do you know any jokes?,irrelevant
Can you find me a bungalow that is pool?,database_query
Wassup mate,general_query
Morning,general_query
What's up,general_query
Can you help me with programming?,irrelevant
Good morning there,general_query
What is the area of a house in suburbs?,database_query
Show me studio with pool,database_query
Can you explain object-oriented programming,irrelevant
Hiya today,general_query
Please let me know do you know any jokes?,irrelevant
Howdy now,general_query
What is the amenities of a duplex in near schools?,database_query
Show me apartment with gym,database_query
Yo today,general_query
What's up friend,general_query
Please let me know where are you from?,irrelevant
I'd like you to cheer me up with a joke,irrelevant
I hate Mondays,irrelevant
Morning friend,general_query
Morning today,general_query
Please let me know what is a variable?,irrelevant
Show me flat with garden,database_query
I want to get a apartment,database_query
Who is the president of the United States?,irrelevant
Hello now,general_query
Show me house with security,database_query
Please let me know do you have feelings?,irrelevant
Please let me know what's the meaning of life?,irrelevant
Can you tell me is it hot outside?,irrelevant
Can you tell me when was the declaration of independence signed?,irrelevant
What is the number of bedrooms of a house in in a quiet area?,database_query
Yo now,general_query
Hey mate,general_query
Good morning today,general_query
How do I debug my code?,irrelevant
